28,19,27,45,
28,15,39,,
7,,,,
28,15,33,6,
11,19,,,
7,25,15,16,1
19,,,,
11,7,19,44
7,24,,,
28,11,19,9,36
28,7,25,3,9
9,19,43,,
17,28,,,
36,,,,
11,,,,
7,38,,,
7,,,,
28,33,19,35,20
28,11,8,19,12
9,44,,,
15,,,,
45,19,43,36,
11,,,,
19,43,28,44,20
15,4,9,45,
6,11,19,23,9
11,28,7,4,41
32,43,11,7,22
38,43,,,
11,43,7,8,
28,7,20,,
45,19,43,44,10
28,11,7,37,19
19,15,,,
7,15,33,43,19
38,9,,,
19,,,,
11,43,25,3,33
43,19,28,20,
33,47,11,7,
47,28,11,3,37
7,15,33,11,43
7,3,15,38,
19,40,9,29,36
33,13,22,25,19
19,38,41,,
11,7,28,46,5
45,38,,,
45,13,7,,
33,28,19,45,41
19,38,43,,
7,,,,
45,7,3,,
28,11,21,7,14
7,25,27,33
33,28,7,37,40
7,6,43,,
11,7,19,41,
28,7,3,25,38
12,2,9,42,44
41,9,43,44,
36,,,,
11,7,33,37,19
11,26,33,25,
9,,,,
45,11,15,19
32,11,22,,
21,15,,,
43,,,,
28,7,15,33,
32,6,28,21,26
45,33,19,30,42
17,6,28,19,11
7,15,19,,
28,42,,,
43,42,,,
45,32,47,7,19
28,19,9,,
45,7,15,39,42
43,,,,
19,42,,,
13,28,21,11,19
7,22,19,43,31
28,33,,,
28,45,11,40,19
28,9,,,
7,8,11,19,27
21,22,,,
28,21,7,33,
28,7,15,,
6,7,11,19,44
6,11,7,37,43
7,33,43,,
46,11,38,27,39
28,18,19,31,
38,43,,,
11,34,,,
28,18,28,42,7
18,7,19,,
7,15,4,19,10
